customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car,tenure,age,address,postcode,state,property_valuation,total_profit,n_transaction,profit_per_transaction,post_code_cut,diverging_post_code,diverging_job_title
1,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,Yes,11,63,060 Morning Avenue,2016,NSW,10,3018.09,11,274.3718181818182,"[1950,2050]",Other,Other
2,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,Yes,16,36,6 Meadow Vale Court,2153,NSW,10,2226.26,3,742.0866666666667,"(2150,2250]",Other,Other
5,Female,56,1977-05-13,Senior Editor,n/a,Affluent Customer,Yes,8,40,17979 Del Mar Point,2448,NSW,4,2394.94,6,399.1566666666667,"(2350,2450]",Other,Other
8,Male,31,1962-03-30,Media Manager,n/a,Mass Customer,No,7,55,49 Londonderry Lane,2650,NSW,4,7066.94,10,706.694,"(2550,2650]",Other,Media Manager
9,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8,44,97736 7th Trail,2023,NSW,12,2353.1099999999997,6,392.18499999999995,"[1950,2050]",Other,Business Systems Development Analyst
12,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8,22,44339 Golden Leaf Alley,4557,QLD,4,3540.03,7,505.71857142857147,"(4550,4650]",Other,Other
13,Male,38,1955-02-15,Developer,Financial Services,High Net Worth,Yes,8,62,2 Sutherland Street,3799,VIC,6,4337.38,7,619.6257142857143,"(3750,3850]",Other,Developer
14,Female,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,No,6,34,9 Mcbride Trail,2760,NSW,8,1713.9,3,571.3000000000001,"(2750,2850]",Other,Other
15,Male,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,No,1,16,9861 New Castle Avenue,2428,NSW,9,1728.39,6,288.065,"(2350,2450]",Other,Other
16,Male,38,1977-02-27,Media Manager,n/a,Mass Customer,Yes,18,40,52 Moland Street,3331,VIC,4,4521.84,5,904.368,"(3250,3350]",Other,Media Manager
17,Male,57,1962-03-19,Sales Associate,n/a,Affluent Customer,Yes,15,55,82391 Kensington Lane,3058,VIC,9,2015.61,5,403.12199999999996,"(3050,3150]",Other,Other
18,Female,79,1967-07-06,Professor,n/a,Affluent Customer,No,11,49,092 2nd Alley,2135,NSW,12,3543.3800000000006,7,506.1971428571429,"(2050,2150]",Other,Other
19,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,No,1,16,59 Spaight Circle,2233,NSW,9,2951.79,3,983.93,"(2150,2250]",Other,Other
20,Male,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,No,11,36,032 Bartelt Crossing,2444,NSW,8,3608.2799999999997,4,902.0699999999999,"(2350,2450]",Other,Project Manager
21,Male,74,1980-09-20,Safety Technician,Manufacturing,Affluent Customer,Yes,16,36,18 Jenna Center,2650,NSW,7,4229.41,5,845.882,"(2550,2650]",Other,Other
24,Female,55,1977-12-03,Research Assistant,Argiculture,Mass Customer,Yes,15,39,3 Cordelia Plaza,2153,NSW,10,3689.35,7,527.05,"(2150,2250]",Other,Other
25,Male,72,1976-12-02,Accounting Assistant,Financial Services,Mass Customer,Yes,21,40,28 5th Center,4413,QLD,3,5333.66,12,444.47166666666664,"(4350,4450]","(4350,4450]",Other
26,Female,12,1978-06-10,Editor,Financial Services,Mass Customer,Yes,16,38,52 Carey Alley,4740,QLD,5,268.2399999999999,2,134.11999999999995,"(4650,4750]",Other,Editor
27,Male,37,1978-09-25,Research Nurse,Health,Mass Customer,Yes,12,38,96 Texas Plaza,3218,VIC,7,3274.2500000000005,7,467.75000000000006,"(3150,3250]",Other,Other
28,Male,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,Yes,21,43,48 Eagan Avenue,4868,QLD,4,3366.5600000000004,6,561.0933333333334,"(4850,4950]","(4850,4950]",Senior Quality Engineer
29,Female,62,1968-06-22,Safety Technician,Manufacturing,Mass Customer,No,19,48,9 Buell Park,4116,QLD,7,6175.3,9,686.1444444444445,"(4050,4150]",Other,Other
31,Female,3,1962-11-24,Staff Accountant,Telecommunications,High Net Worth,Yes,14,54,2294 Pleasure Place,2135,NSW,12,426.10999999999996,4,106.52749999999999,"(2050,2150]",Other,Other
