gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,property_valuation,age,diverging_job_title,post_code_cut,diverging_post_code
Male,86,1957-07-12,General Manager,Manufacturing,Mass Customer,Yes,14,45 Shopko Center,4500,QLD,6,59,General Manager,"(4450,4550]",Other
Male,69,1970-03-22,Structural Engineer,Property,Mass Customer,No,16,14 Mccormick Park,2113,NSW,11,47,Other,"(2050,2150]",Other
Female,10,1974-08-28,Senior Cost Accountant,Financial Services,Affluent Customer,No,10,5 Colorado Crossing,3505,VIC,5,42,Other,"(3450,3550]",Other
Female,64,1979-01-28,Account Representative,Manufacturing,Affluent Customer,Yes,5,207 Annamark Plaza,4814,QLD,1,38,Other,"(4750,4850]","(4750,4850]"
Female,34,1965-09-21,Financial Analyst,Financial Services,Affluent Customer,No,19,115 Montana Place,2093,NSW,9,51,Other,"(2050,2150]",Other
Female,39,1951-04-29,Assistant Media Planner,Entertainment,High Net Worth,Yes,22,89105 Pearson Terrace,4075,QLD,7,66,Other,"(4050,4150]",Other
Male,23,1976-10-06,Compensation Analyst,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,7,40,Other,"(2550,2650]",Other
Female,74,1972-12-27,Human Resources Assistant,Retail,Mass Customer,Yes,10,85 Carioca Point,4814,QLD,5,44,Other,"(4750,4850]","(4750,4850]"
Male,50,1972-04-28,Speech Pathologist,Manufacturing,Mass Customer,Yes,5,717 West Drive,2200,NSW,10,45,Other,"(2150,2250]",Other
Male,72,1985-08-02,Accounting Assistant,IT,Mass Customer,Yes,17,80 Scofield Junction,4151,QLD,5,31,Other,"(4150,4250]",Other
Male,94,1995-01-01,Programmer Analyst,Retail,High Net Worth,No,3,3682 Crowley Point,4573,QLD,6,22,Other,"(4550,4650]",Other
Male,48,1999-08-30,Environmental Specialist,Manufacturing,Mass Customer,No,10,3 Golden Leaf Point,3216,VIC,8,17,Other,"(3150,3250]",Other
Male,60,1990-05-13,Human Resources Manager,Telecommunications,Mass Customer,No,9,0484 North Avenue,2032,NSW,11,27,Human Resources Manager,"[1950,2050]",Other
Female,38,1976-12-09,VP Marketing,Health,Mass Customer,No,4,0591 Anzinger Circle,2232,NSW,10,40,Other,"(2150,2250]",Other
Female,32,1964-04-19,Clinical Specialist,Health,Mass Customer,No,10,39 Kedzie Pass,4053,QLD,8,53,Other,"(4050,4150]",Other
Female,61,1993-08-22,Associate Professor,Manufacturing,Mass Customer,Yes,4,610 Swallow Street,4051,QLD,6,23,Other,"(4050,4150]",Other
Female,83,1976-06-08,Actuary,Financial Services,Mass Customer,No,14,61 4th Street,3040,VIC,10,40,Other,"(2950,3050]","(2950,3050]"
Female,65,1938-11-09,General Manager,Manufacturing,Affluent Customer,Yes,11,1550 Russell Way,2222,NSW,11,78,General Manager,"(2150,2250]",Other
Female,2,1954-08-12,Internal Auditor,Manufacturing,High Net Worth,No,12,193 North Point,2190,NSW,10,62,Other,"(2150,2250]",Other
Male,11,1968-12-21,Programmer,Manufacturing,Mass Customer,Yes,13,321 Raven Plaza,2161,NSW,9,48,Other,"(2150,2250]",Other
Male,44,1993-09-29,Financial Analyst,Financial Services,Mass Customer,Yes,8,656 Fuller Street,2783,NSW,7,23,Other,"(2750,2850]",Other
Male,26,1998-02-05,Quality Engineer,n/a,Mass Customer,No,3,1562 Merchant Street,4744,QLD,4,19,Other,"(4650,4750]",Other
Female,5,1977-12-17,Quality Control Specialist,n/a,Affluent Customer,Yes,13,663 8th Parkway,2257,NSW,8,39,Other,"(2250,2350]",Other
Female,78,1982-10-11,Account Executive,Manufacturing,Mass Customer,No,4,67 Shelley Street,4703,QLD,5,34,Other,"(4650,4750]",Other
Female,19,1952-06-27,Engineer,Retail,Mass Customer,Yes,7,51 Hooker Court,2640,NSW,2,64,Other,"(2550,2650]",Other
Female,71,1966-07-20,Nurse,Property,High Net Worth,Yes,5,1859 Forest Circle,4000,QLD,11,50,Other,"(3950,4050]",Other
Female,84,1960-12-10,Librarian,Entertainment,High Net Worth,No,11,44557 Rutledge Court,4171,QLD,7,56,Other,"(4150,4250]",Other
Male,70,1951-11-28,Clinical Specialist,Health,Mass Customer,Yes,12,8 Novick Trail,2470,NSW,2,65,Other,"(2450,2550]",Other
Female,88,1987-01-15,Paralegal,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,7,30,Other,"(2550,2650]",Other
Male,71,1981-09-22,Nurse,n/a,Mass Customer,No,9,3 Pleasure Drive,4122,QLD,9,35,Other,"(4050,4150]",Other
Female,27,1977-05-09,Assistant Manager,Financial Services,Affluent Customer,No,20,8 Dennis Point,3226,VIC,9,40,Assistant Manager,"(3150,3250]",Other
Female,48,1975-05-10,Senior Quality Engineer,Financial Services,Affluent Customer,Yes,13,41042 Lotheville Crossing,4817,QLD,1,42,Senior Quality Engineer,"(4750,4850]","(4750,4850]"
Male,76,1968-03-25,Recruiting Manager,n/a,High Net Worth,No,13,2330 Butternut Trail,2017,NSW,10,49,Recruiting Manager,"[1950,2050]",Other
Female,24,1985-03-14,Design Engineer,Financial Services,Mass Customer,No,3,44 Darwin Lane,3149,VIC,10,32,Design Engineer,"(3050,3150]",Other
Female,52,1966-09-18,Design Engineer,n/a,Affluent Customer,No,9,938 Ilene Road,2761,NSW,8,50,Design Engineer,"(2750,2850]",Other
Female,29,1956-08-30,Business Systems Development Analyst,Retail,High Net Worth,Yes,5,08708 Moulton Park,2034,NSW,12,60,Other,"[1950,2050]",Other
Female,14,1956-07-16,Paralegal,Financial Services,Affluent Customer,Yes,19,306 Clemons Junction,4852,QLD,1,60,Other,"(4850,4950]","(4850,4950]"
Female,85,1994-12-04,VP Quality Control,n/a,High Net Worth,Yes,14,18 Grim Road,4305,QLD,4,22,Other,"(4250,4350]",Other
Female,59,1977-05-14,Cost Accountant,Financial Services,Mass Customer,Yes,17,169 Bashford Drive,3741,VIC,7,40,Other,"(3650,3750]","(3650,3750]"
Male,12,1950-05-03,Product Engineer,Argiculture,Mass Customer,No,20,3 Vermont Lane,2067,NSW,12,67,Other,"(2050,2150]",Other
Male,62,1999-03-22,Paralegal,Financial Services,Affluent Customer,Yes,5,64 Mcguire Trail,4017,QLD,8,18,Other,"(3950,4050]",Other
Male,55,1993-12-19,Social Worker,Health,High Net Worth,Yes,11,74127 Blaine Point,3805,VIC,7,23,Other,"(3750,3850]",Other
Female,87,1995-03-25,Payment Adjustment Coordinator,Retail,Mass Customer,No,16,293 Mayfield Street,3166,VIC,10,22,Other,"(3150,3250]",Other
Female,52,1981-02-03,Marketing Assistant,Manufacturing,Mass Customer,No,9,261 Grayhawk Way,2226,NSW,10,36,Other,"(2150,2250]",Other
Male,75,1979-12-17,Recruiter,Argiculture,Mass Customer,No,12,2 Schlimgen Terrace,2750,NSW,8,37,Other,"(2650,2750]",Other
Female,51,1972-10-31,VP Product Management,n/a,Mass Customer,No,14,76733 Sunbrook Terrace,3196,VIC,9,44,Other,"(3150,3250]",Other
